ISO Code,Location,Original Region
LBR,Monrovia, Monrovia
LBR,North Central, North Central
LBR,North Western, North Western
LBR,South Central, South Central
LBR,South Eastern A, South Eastern A
LBR,South Eastern B, South Eastern B
LBY,Cyrenaica,Cyrenaica
LBY,Fezzan,Fezzan
LBY,Tripolitania,Tripolitania
LCA,St Lucia rural,St Lucia rural
LCA,St Lucia urban,St Lucia urban
LSO,Mohale s Hoek,Mohale s Hoek
LSO,Qasha s Nek,Qasha s Nek
LTU,Alytus County,Alytus County
LTU,Kaunas County,Kaunas County
LTU,Klaipeda County,Klaipeda County
LTU,Marijampole County,Marijampole County
LTU,Panevezys County,Panevezys County
LTU,Siauliai County,Siauliai County
LTU,Taurage County,Taurage County
LTU,Telsiai County,Telsiai County
LTU,Utena County,Utena County
LTU,Vilnius County,Vilnius County
LVA,Pieriga,Pieriga region
MAR,Centre,Centre
MAR,Centre north,Centre north
MAR,Centre south,Centre south
MAR,Tensift,Tensift
MDA,Center,Center
MDA,Chisinau,Chisinau
MDG,Alaotra Mangoro,Alaotra Mangoro
MDG,Anamoroni Mania,Anamoroni Mania
MDG,Atsimo Andrefana,Atsimo Andrefana
MDG,Atsimo Atsinanana,Atsimo Atsinanana
MDV,Male,Male
MDV,North Central,North Central
MDV,South Central,South Central
MEX,Estado, CDMX-Edo Mexico Ciudad de Mexico (Estado de Mexico)
MEX,Mexico, CDMX-Edo Mexico Ciudad de Mexico (Estado de Mexico)
MEX,Mexico,Mexico
MEX,Michoacan de Ocampo,Michoacan de Ocampo
MEX,Michoacan y Colima," Centro (Guerrero, Morelos, Puebla, Tlaxcala, Hidalgo, Michoacan y Colima)"
MEX,Noreste (Aguascalientes," Noreste (Aguascalientes, Coahuila, Guanajuato, Nuevo Leon, Queretaro, San Luis Potosi, Tamaulipas,"
MEX,Noroeste (Baja California," Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Jalisco, Nayarit, Sinaloa y Son"
MEX,Nuevo Leon," Noreste (Aguascalientes, Coahuila, Guanajuato, Nuevo Leon, Queretaro, San Luis Potosi, Tamaulipas,"
MEX,Nuevo Leon,Nuevo Leon
MEX,Queretaro," Noreste (Aguascalientes, Coahuila, Guanajuato, Nuevo Leon, Queretaro, San Luis Potosi, Tamaulipas,"
MEX,Queretaro,Queretaro
MEX,San Luis Potosi," Noreste (Aguascalientes, Coahuila, Guanajuato, Nuevo Leon, Queretaro, San Luis Potosi, Tamaulipas,"
MEX,San Luis Potosi,San Luis Potosi
MEX,Sinaloa y Son," Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Jalisco, Nayarit, Sinaloa y Son"
MEX,Veracruz y Yucatan," Sur (Campeche, Chiapas, Oaxaca, Quintana Roo, Tabasco, Veracruz y Yucatan)"
MEX,Yucatan,Yucatan
MEX,de, CDMX-Edo Mexico Ciudad de Mexico (Estado de Mexico)
MKD,Pelagoniski,Pelagoniski
MKD,Poloski,Poloski
MKD,Skopski,Skopski
MKD,Vardarski,Vardarski
MMR,Taninthayi,Taninthayi
MNE,Centre,Centre
MNG,Arkhangai,"Khangai (Arkhangai, Bayankhongor, Bulgan, Uvurkhangai, Khuvsgul, Orkhon)"
MNG,Bayan-Ulgii,"Western (Bayan-Ulgii, Govi-Altai, Zavkhan, Uvs, Khovd)"
