ISO Code,Location,Original Region
VNM,South Central Coast,North Central Coast and South Central Coast
UGA,East Central," Eastern (Eastern, East Central)"
BRA,Ceara,Ceara
HND,Colon,Colon
NGA,Adamawa,Adamawa
SLV,Central I,Central I
VEN,Amazonas Federal Territory,Amazonas Federal Territory
TGO,Plateaux,Plateaux
BFA,Ouagadougou,Centre (incl Ouagadougou)
TUR,Duzce,"East Marmara (Bilecik, Bolu, Bursa, Duzce, Eskisehir, Kocaeli, Sakarya, Yalova)"
KHM,Kampot-Krong Kaeb-Krong Preah Sihanouk,Kampot-Krong Kaeb-Krong Preah Sihanouk
IND,Andaman,Andaman and Nicobar Islands
PAN,Ngobe Bugle,Ngobe Bugle
CAF,Mbornou,"RS V (Basse Kotto, Mbornou, Houte Mbormou)"
KHM,Kandal,Kandal
HTI,Grande-Anse,"Grande-Anse, Nippes"
KIR,Central Gibert,Central Gibert
UGA,Bukedi,"Eastern (Bukedi, Bugishu, Teso)"
PAN,Colon,Colon
SSD,Northern Bahr El Ghazal,Northern Bahr El Ghazal
SSD,Western Bahr El Ghazal,Western Bahr El Ghazal
CMR,Nord,Nord
VEN,Region Central, Region Central
IDN,islands,Riau (incl. Riau islands)
CIV,Vallee du Bandama,Vallee du Bandama
BRB,St. George,"St. James, St. George, and St. Thomas"
STP,Regiao Centro,Regiao Centro
MDA,Chisinau,Chisinau
IDN,Barat,South Sulawesi (incl Sulawesi Barat)
UGA,Central 2," Central (Central 1, Central 2, Kampala)"
ALB,Gjirokaster, Gjirokaster
MAR,Centre north,Centre north
PHL,Bicol,V-Bicol
COL,Narino,Narino
CHL,Magallanes,Magallanes and La Antartica Chilena
MEX,Queretaro,Queretaro
KAZ,Akmolinskaya,"North region (Akmolinskaya (incl Astana city), Kostnaiskaya, Pavlodarskaya, North-Kazakhstanskaya)"
MYS,Wilayah Persekutuan," Central (Perak, Selangor, Wilayah Persekutuan)"
TUR,Bingol,"Central East Anatolia (Bingol, Bitlis, Elazig, Hakkari, Malatya, Mus, Tunceli, Van)"
COD,Bas-Congo,Bas-Congo
NIC,Atlantico Norte (Raan,"Atlantico (Rio San Juan, Atlantico Norte (Raan), Atlantico Sur (Raas))"
ETH,Addis,Addis
MNG,Govi-Altai,"Western (Bayan-Ulgii, Govi-Altai, Zavkhan, Uvs, Khovd)"
CHL,Aisen,Aisen
ARG,NEA,NEA
KHM,Mondol Kiri-Rotanak Kiri,Mondol Kiri-Rotanak Kiri
KIR,Southern Gilbert,Southern Gilbert
CAF,Basse Kotto,"RS V (Basse Kotto, Mbornou, Houte Mbormou)"
