ISO Code,Location,Original Region
BRA,Piaui,Piaui
COL,Cordoba,Cordoba
IND,Punjab,Punjab
SOM,Togdhere,Togdhere
NIC,Rio San Juan,"Atlantico (Rio San Juan, Atlantico Norte (Raan), Atlantico Sur (Raas))"
SVN,Goriska,Goriska
FIN,Pohjois-ja Ita-Suomi,Pohjois-ja Ita-Suomi
TUR,Eskiseh,"East Marmara (Bilecik, Bolu, Bursa, Duzce, Eskiseh"
UGA,Tooro,"Western (Bunyoro, Tooro)"
VNM,Central Highlands,Central Highlands
KEN,Nyanza,Nyanza
YEM,Omran,"Hajja, Sada, Amran (Omran)"
IRN,Bakhtiyari,Chaharmahal and Bakhtiyari
FIN,Etela-Suomi,Etela-Suomi
BIH,Western Bosnia,Western Bosnia
KEN,Coast,Coast
MNG,Umnugovi,"Central (Dornogovi, Dundgovi, Umnugovi, Selenge, Tuv, Darkhan-Uul, Govisumber)"
FRA,Basse-Normandie,Basse-Normandie
YEM,town,"Abyan, Aden (town and countryside), Lahej, Ad Dali (Al Dhalih)"
CMR,Nord Ouest,Nord Ouest
LTU,Marijampole County,Marijampole County
BRA,Paraiba,Paraiba
CIV,Sud Ouest,Sud Ouest
CHL,La Antartica Chilena,Magallanes and La Antartica Chilena
EGY,Menya,Menya
HUN,Kozep-Dunantul,Kozep-Dunantul
LSO,Qasha s Nek,Qasha s Nek
KOR,Chungcheong,Chungcheong Region
ESP,Pais Vasco,Pais Vasco
PRT,Area Metropolitana de Lisboa,Area Metropolitana de Lisboa
ECU,Oriente,Oriente
ARG,Pampeana,Pampeana
BEL,Prov. Vlaams-Brabant,Prov. Vlaams-Brabant
YEM,Amana,"Sana a (capital; Al Amana), Sana a (governorate)"
BGR,Yugoiztochen,Yugoiztochen
AFG,Herat,West (Ghor Herat Badghis Farah)
CHE,Eastern Switzerland,Eastern Switzerland
FRA,Franche-Comte,Franche-Comte
MEX,San Luis Potosi,San Luis Potosi
MNG,Bayan-Ulgii,"Western (Bayan-Ulgii, Govi-Altai, Zavkhan, Uvs, Khovd)"
SWE,Smaland med oarna,Smaland med oarna
TUR,West Marmara (Balikesir,"West Marmara (Balikesir, Canakkale, Edirne, Kirkla"
TZA,Mwanza," Mwanza, Geita"
GBR,West Midlands,West Midlands
GRC,Ionia Nisia,Ionia Nisia
IDN,Sulawesi,South Sulawesi (incl Sulawesi Barat)
MDV,Male,Male
TUR,Duzce,"East Marmara (Bilecik, Bolu, Bursa, Duzce, Eskiseh"
TUR,Man,"Aegean (Afyon, Aydin, Denizli, Izmir, Kutahya, Man"
MNG,Govisumber,"Central (Dornogovi, Dundgovi, Umnugovi, Selenge, Tuv, Darkhan-Uul, Govisumber)"
URY,Tacuarembo,Centro (Durazno and Tacuarembo)
BFA,Est,Est
IRQ,Diala,Diala
DOM,San Juan,"Region VI (San Juan, Elias Pina)"
NZL,Tasman - Nelson,Tasman - Nelson
COL,Narino,Narino
TZA,Dar Es Salam, Dar Es Salam
ESP,Region de Murcia,Region de Murcia
GMB,Basse,Basse
